MinorMax,batch_ind,ind_in_batch,time_point
Min,2,5,40
Min,0,10,39
Min,2,5,64
Min,0,10,147
Min,0,19,37
Min,2,4,2
Min,3,2,33
Min,1,17,14
Min,2,4,42
Min,2,17,26
Min,3,0,70
Min,1,7,9
Min,2,10,97
Min,1,13,11
Min,3,2,49
Min,1,6,133
Min,3,13,62
Min,2,1,47
Min,1,21,70
Min,0,13,70
Min,3,6,36
Min,0,16,7
Min,0,10,120
Min,1,5,59
Min,3,12,89
Min,3,2,77
Min,2,9,1
Min,3,11,13
Min,1,17,73
Min,2,18,72
Min,2,6,55
Min,3,6,4
Min,1,10,96
Min,0,3,127
Min,1,10,87
Min,2,14,49
Min,3,1,40
Min,2,15,5
Min,0,12,54
Min,2,22,17
Min,2,22,113
Min,1,17,121
Min,0,10,139
Min,2,4,14
Min,1,2,60
Min,3,0,14
Min,0,5,120
Min,3,19,5
Min,1,10,10
Min,1,1,79
Max,2,12,110
Max,3,11,64
Max,3,15,141
Max,1,4,26
Max,2,19,45
Max,2,14,91
Max,2,22,111
Max,2,17,27
Max,2,2,58
Max,0,8,104
Max,1,16,130
Max,1,13,116
Max,2,9,115
Max,1,18,107
Max,1,15,71
Max,3,7,110
Max,2,9,68
Max,3,15,21
Max,0,7,31
Max,0,11,131
Max,3,15,77
Max,2,16,71
Max,3,8,53
Max,1,14,37
Max,0,1,70
Max,2,2,52
Max,1,9,84
Max,2,22,10
Max,0,7,62
Max,0,6,112
Max,1,14,130
Max,3,17,144
Max,2,14,29
Max,0,19,118
Max,2,21,130
Max,2,13,97
Max,0,8,62
Max,2,2,35
Max,0,4,77
Max,1,8,115
Max,2,8,42
Max,3,3,74
Max,1,12,28
Max,0,14,142
Max,2,21,103
Max,3,16,82
Max,2,1,105
Max,2,16,47
Max,0,18,110
Max,0,20,44
